,Epochs,Validation Accuracy,Setting
167,18,0.4156999886035919,cifar_500
168,19,0.40610000491142273,cifar_500
169,20,0.41370001435279846,cifar_500
170,21,0.4115000069141388,cifar_500
171,22,0.41440001130104065,cifar_500
172,23,0.4023999869823456,cifar_500
173,24,0.41690000891685486,cifar_500
174,25,0.4120999872684479,cifar_500
175,26,0.4381999969482422,cifar_500
176,27,0.3937999904155731,cifar_500
177,28,0.42250001430511475,cifar_500
178,29,0.41679999232292175,cifar_500
179,30,0.42890000343322754,cifar_500
180,1,0.17569999396800995,cifar_500
181,2,0.21299999952316284,cifar_500
182,3,0.24560000002384186,cifar_500
183,4,0.3068000078201294,cifar_500
184,5,0.32580000162124634,cifar_500
185,6,0.34299999475479126,cifar_500
186,7,0.3837999999523163,cifar_500
187,8,0.38909998536109924,cifar_500
188,9,0.38510000705718994,cifar_500
189,10,0.4036000072956085,cifar_500
190,11,0.39590001106262207,cifar_500
191,12,0.41119998693466187,cifar_500
192,13,0.36629998683929443,cifar_500
193,14,0.39100000262260437,cifar_500
194,15,0.391400009393692,cifar_500
195,16,0.39959999918937683,cifar_500
196,17,0.4074999988079071,cifar_500
197,18,0.4016000032424927,cifar_500
198,19,0.4325000047683716,cifar_500
199,20,0.41130000352859497,cifar_500
200,21,0.4153999984264374,cifar_500
201,22,0.3804999887943268,cifar_500
202,23,0.39430001378059387,cifar_500
203,24,0.3984000086784363,cifar_500
204,25,0.42730000615119934,cifar_500
205,26,0.4032000005245209,cifar_500
206,27,0.4255000054836273,cifar_500
207,28,0.41530001163482666,cifar_500
208,29,0.39410001039505005,cifar_500
209,30,0.3971000015735626,cifar_500
210,1,0.23270000517368317,cifar_500
211,2,0.26429998874664307,cifar_500
212,3,0.26930001378059387,cifar_500
213,4,0.2992999851703644,cifar_500
214,5,0.34279999136924744,cifar_500
215,6,0.37369999289512634,cifar_500
216,7,0.36230000853538513,cifar_500
217,8,0.3720000088214874,cifar_500
218,9,0.41510000824928284,cifar_500
219,10,0.3813999891281128,cifar_500
220,11,0.35600000619888306,cifar_500
221,12,0.3750999867916107,cifar_500
222,13,0.40689998865127563,cifar_500
223,14,0.42329999804496765,cifar_500
224,15,0.42410001158714294,cifar_500
225,16,0.420199990272522,cifar_500
226,17,0.4242999851703644,cifar_500
227,18,0.4117000102996826,cifar_500
228,19,0.4165000021457672,cifar_500
229,20,0.4172999858856201,cifar_500
230,21,0.41690000891685486,cifar_500
231,22,0.42309999465942383,cifar_500
232,23,0.4212999939918518,cifar_500
233,24,0.4049000144004822,cifar_500
234,25,0.4221999943256378,cifar_500
235,26,0.40400001406669617,cifar_500
236,27,0.3869999945163727,cifar_500
237,28,0.4172999858856201,cifar_500
238,29,0.4228000044822693,cifar_500
239,30,0.40380001068115234,cifar_500
240,1,0.21400000154972076,cifar_500
241,2,0.2540999948978424,cifar_500
242,3,0.2563000023365021,cifar_500
243,4,0.30730000138282776,cifar_500
244,5,0.302700012922287,cifar_500
245,6,0.38119998574256897,cifar_500
246,7,0.3522999882698059,cifar_500
247,8,0.34540000557899475,cifar_500
248,9,0.38659998774528503,cifar_500
249,10,0.3986999988555908,cifar_500
250,11,0.40299999713897705,cifar_500
251,12,0.36820000410079956,cifar_500
252,13,0.4154999852180481,cifar_500
253,14,0.4300999939441681,cifar_500
254,15,0.4090000092983246,cifar_500
255,16,0.3995000123977661,cifar_500
256,17,0.43230000138282776,cifar_500
257,18,0.399399995803833,cifar_500
258,19,0.4002000093460083,cifar_500
259,20,0.3952000141143799,cifar_500
260,21,0.4009999930858612,cifar_500
261,22,0.4291999936103821,cifar_500
262,23,0.4296000003814697,cifar_500
263,24,0.4293999969959259,cifar_500
264,25,0.42399999499320984,cifar_500
265,26,0.4284999966621399,cifar_500
266,27,0.41499999165534973,cifar_500
267,28,0.40720000863075256,cifar_500
268,29,0.424699991941452,cifar_500
269,30,0.41260001063346863,cifar_500
270,1,0.2508000135421753,cifar_500
271,2,0.29899999499320984,cifar_500
272,3,0.3352000117301941,cifar_500
273,4,0.359499990940094,cifar_500
274,5,0.3628999888896942,cifar_500
275,6,0.37310001254081726,cifar_500
276,7,0.33719998598098755,cifar_500
277,8,0.36739999055862427,cifar_500
278,9,0.40139999985694885,cifar_500
279,10,0.39730000495910645,cifar_500
280,11,0.39320001006126404,cifar_500
281,12,0.41839998960494995,cifar_500
282,13,0.4131999909877777,cifar_500
283,14,0.4106000065803528,cifar_500
284,15,0.400299996137619,cifar_500
285,16,0.42480000853538513,cifar_500
286,17,0.4099999964237213,cifar_500
287,18,0.4099999964237213,cifar_500
288,19,0.4251999855041504,cifar_500
289,20,0.41819998621940613,cifar_500
290,21,0.41609999537467957,cifar_500
291,22,0.4090000092983246,cifar_500
292,23,0.39730000495910645,cifar_500
293,24,0.41839998960494995,cifar_500
294,25,0.40540000796318054,cifar_500
295,26,0.4129999876022339,cifar_500
296,27,0.41100001335144043,cifar_500
297,28,0.41370001435279846,cifar_500
298,29,0.4108999967575073,cifar_500
299,30,0.40389999747276306,cifar_500
300,1,0.37139999866485596,cifar_5000
301,2,0.42559999227523804,cifar_5000
302,3,0.45329999923706055,cifar_5000
303,4,0.46050000190734863,cifar_5000
304,5,0.4729999899864197,cifar_5000
305,6,0.4846999943256378,cifar_5000
306,7,0.49059998989105225,cifar_5000
307,8,0.5041999816894531,cifar_5000
308,9,0.5030999779701233,cifar_5000
309,10,0.49709999561309814,cifar_5000
310,11,0.4893999993801117,cifar_5000
311,12,0.49160000681877136,cifar_5000
312,13,0.5060999989509583,cifar_5000
313,14,0.5146999955177307,cifar_5000
314,15,0.4959000051021576,cifar_5000
315,16,0.492000013589859,cifar_5000
316,17,0.49470001459121704,cifar_5000
317,18,0.5052000284194946,cifar_5000
318,19,0.5123000144958496,cifar_5000
319,20,0.5080999732017517,cifar_5000
320,21,0.5248000025749207,cifar_5000
321,22,0.5275999903678894,cifar_5000
322,23,0.5144000053405762,cifar_5000
323,24,0.5078999996185303,cifar_5000
324,25,0.5252000093460083,cifar_5000
325,26,0.5026999711990356,cifar_5000
326,27,0.5277000069618225,cifar_5000
327,28,0.5284000039100647,cifar_5000
328,29,0.5275999903678894,cifar_5000
329,30,0.5299000144004822,cifar_5000
330,1,0.4075999855995178,cifar_5000
331,2,0.42480000853538513,cifar_5000
332,3,0.44830000400543213,cifar_5000
333,4,0.45739999413490295,cifar_5000
