,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
115,26,0.23333333432674408,No Recombination,0.6333333253860474
116,27,0.1666666716337204,No Recombination,0.5333333611488342
117,28,0.2666666805744171,No Recombination,0.6000000238418579
118,29,0.2666666805744171,No Recombination,0.6333333253860474
119,30,0.30000001192092896,No Recombination,0.6166666746139526
120,1,0.23333333432674408,No Recombination,0.5333333611488342
121,2,0.20000000298023224,No Recombination,0.5666666626930237
122,3,0.23333333432674408,No Recombination,0.7333333492279053
123,4,0.5,No Recombination,0.8999999761581421
124,5,0.36666667461395264,No Recombination,0.8500000238418579
125,6,0.30000001192092896,No Recombination,0.6666666865348816
126,7,0.5,No Recombination,0.800000011920929
127,8,0.46666666865348816,No Recombination,0.8999999761581421
128,9,0.3333333432674408,No Recombination,0.7666666507720947
129,10,0.46666666865348816,No Recombination,0.8333333134651184
130,11,0.36666667461395264,No Recombination,0.7166666388511658
131,12,0.5,No Recombination,0.9166666865348816
132,13,0.2666666805744171,No Recombination,0.5666666626930237
133,14,0.20000000298023224,No Recombination,0.46666666865348816
134,15,0.3333333432674408,No Recombination,0.7166666388511658
135,16,0.36666667461395264,No Recombination,0.75
136,17,0.3333333432674408,No Recombination,0.75
137,18,0.3333333432674408,No Recombination,0.699999988079071
138,19,0.2666666805744171,No Recombination,0.5333333611488342
139,20,0.4000000059604645,No Recombination,0.699999988079071
140,21,0.4333333373069763,No Recombination,0.8166666626930237
141,22,0.4000000059604645,No Recombination,0.800000011920929
142,23,0.1666666716337204,No Recombination,0.5
143,24,0.36666667461395264,No Recombination,0.7666666507720947
144,25,0.36666667461395264,No Recombination,0.75
145,26,0.36666667461395264,No Recombination,0.6833333373069763
146,27,0.4000000059604645,No Recombination,0.75
147,28,0.4000000059604645,No Recombination,0.75
148,29,0.4000000059604645,No Recombination,0.7833333611488342
149,30,0.46666666865348816,No Recombination,0.8166666626930237
150,1,0.4333333373069763,5 Recombinations,0.6166666746139526
151,2,0.3333333432674408,5 Recombinations,0.7333333492279053
152,3,0.4333333373069763,5 Recombinations,0.6833333373069763
153,4,0.5333333611488342,5 Recombinations,0.8166666626930237
154,5,0.46666666865348816,5 Recombinations,0.7666666507720947
155,6,0.5,5 Recombinations,0.8666666746139526
156,7,0.4000000059604645,5 Recombinations,0.7833333611488342
157,8,0.4000000059604645,5 Recombinations,0.8166666626930237
158,9,0.46666666865348816,5 Recombinations,0.7166666388511658
159,10,0.4000000059604645,5 Recombinations,0.8833333253860474
160,11,0.5333333611488342,5 Recombinations,0.8333333134651184
161,12,0.5,5 Recombinations,0.8333333134651184
162,13,0.4333333373069763,5 Recombinations,0.7666666507720947
163,14,0.5666666626930237,5 Recombinations,0.800000011920929
164,15,0.5666666626930237,5 Recombinations,0.949999988079071
165,16,0.5333333611488342,5 Recombinations,0.8333333134651184
166,17,0.46666666865348816,5 Recombinations,0.8166666626930237
167,18,0.5,5 Recombinations,0.8666666746139526
168,19,0.5666666626930237,5 Recombinations,0.8833333253860474
169,20,0.36666667461395264,5 Recombinations,0.800000011920929
170,21,0.4333333373069763,5 Recombinations,0.7833333611488342
171,22,0.46666666865348816,5 Recombinations,0.8666666746139526
172,23,0.46666666865348816,5 Recombinations,0.8166666626930237
173,24,0.4333333373069763,5 Recombinations,0.800000011920929
174,25,0.3333333432674408,5 Recombinations,0.6499999761581421
175,26,0.5333333611488342,5 Recombinations,0.8500000238418579
176,27,0.4000000059604645,5 Recombinations,0.8166666626930237
177,28,0.5,5 Recombinations,0.8500000238418579
178,29,0.46666666865348816,5 Recombinations,0.7833333611488342
179,30,0.4333333373069763,5 Recombinations,0.8500000238418579
180,1,0.20000000298023224,5 Recombinations,0.4000000059604645
181,2,0.46666666865348816,5 Recombinations,0.8166666626930237
182,3,0.3333333432674408,5 Recombinations,0.800000011920929
183,4,0.4333333373069763,5 Recombinations,0.8500000238418579
184,5,0.4000000059604645,5 Recombinations,0.7833333611488342
185,6,0.5333333611488342,5 Recombinations,0.9166666865348816
