,Epochs,Validation Accuracy,Setting,Validation Off-By-One Accuracy
480,1,0.30000001192092896,20 Recombinations,0.7833333611488342
481,2,0.3333333432674408,20 Recombinations,0.8666666746139526
482,3,0.4000000059604645,20 Recombinations,0.7666666507720947
483,4,0.13333334028720856,20 Recombinations,0.5333333611488342
484,5,0.2666666805744171,20 Recombinations,0.7833333611488342
485,6,0.30000001192092896,20 Recombinations,0.7833333611488342
486,7,0.4333333373069763,20 Recombinations,0.8166666626930237
487,8,0.36666667461395264,20 Recombinations,0.8999999761581421
488,9,0.46666666865348816,20 Recombinations,0.7833333611488342
489,10,0.4333333373069763,20 Recombinations,0.8999999761581421
490,11,0.4000000059604645,20 Recombinations,0.7166666388511658
491,12,0.36666667461395264,20 Recombinations,0.7666666507720947
492,13,0.30000001192092896,20 Recombinations,0.8333333134651184
493,14,0.30000001192092896,20 Recombinations,0.7666666507720947
494,15,0.36666667461395264,20 Recombinations,0.75
495,16,0.2666666805744171,20 Recombinations,0.6000000238418579
496,17,0.36666667461395264,20 Recombinations,0.6499999761581421
497,18,0.2666666805744171,20 Recombinations,0.5666666626930237
498,19,0.3333333432674408,20 Recombinations,0.75
499,20,0.30000001192092896,20 Recombinations,0.550000011920929
500,21,0.3333333432674408,20 Recombinations,0.6333333253860474
501,22,0.4333333373069763,20 Recombinations,0.7666666507720947
502,23,0.20000000298023224,20 Recombinations,0.5
503,24,0.20000000298023224,20 Recombinations,0.5666666626930237
504,25,0.20000000298023224,20 Recombinations,0.5333333611488342
505,26,0.23333333432674408,20 Recombinations,0.6000000238418579
506,27,0.20000000298023224,20 Recombinations,0.5833333134651184
507,28,0.2666666805744171,20 Recombinations,0.6000000238418579
508,29,0.36666667461395264,20 Recombinations,0.7333333492279053
509,30,0.4000000059604645,20 Recombinations,0.800000011920929
510,1,0.36666667461395264,20 Recombinations,0.699999988079071
511,2,0.23333333432674408,20 Recombinations,0.5333333611488342
512,3,0.3333333432674408,20 Recombinations,0.7666666507720947
513,4,0.36666667461395264,20 Recombinations,0.7666666507720947
514,5,0.3333333432674408,20 Recombinations,0.699999988079071
515,6,0.36666667461395264,20 Recombinations,0.7833333611488342
516,7,0.4000000059604645,20 Recombinations,0.800000011920929
517,8,0.4333333373069763,20 Recombinations,0.75
518,9,0.4333333373069763,20 Recombinations,0.800000011920929
519,10,0.36666667461395264,20 Recombinations,0.8500000238418579
520,11,0.4000000059604645,20 Recombinations,0.7666666507720947
521,12,0.4000000059604645,20 Recombinations,0.7833333611488342
522,13,0.30000001192092896,20 Recombinations,0.6499999761581421
523,14,0.30000001192092896,20 Recombinations,0.6499999761581421
524,15,0.4000000059604645,20 Recombinations,0.8333333134651184
525,16,0.36666667461395264,20 Recombinations,0.7333333492279053
526,17,0.3333333432674408,20 Recombinations,0.6333333253860474
527,18,0.3333333432674408,20 Recombinations,0.6499999761581421
528,19,0.2666666805744171,20 Recombinations,0.6333333253860474
529,20,0.4333333373069763,20 Recombinations,0.8333333134651184
530,21,0.3333333432674408,20 Recombinations,0.6333333253860474
531,22,0.46666666865348816,20 Recombinations,0.7333333492279053
532,23,0.4000000059604645,20 Recombinations,0.7833333611488342
533,24,0.4333333373069763,20 Recombinations,0.699999988079071
534,25,0.36666667461395264,20 Recombinations,0.7333333492279053
535,26,0.36666667461395264,20 Recombinations,0.7166666388511658
536,27,0.3333333432674408,20 Recombinations,0.75
537,28,0.4333333373069763,20 Recombinations,0.8166666626930237
538,29,0.46666666865348816,20 Recombinations,0.8833333253860474
539,30,0.46666666865348816,20 Recombinations,0.8833333253860474
540,1,0.36666667461395264,20 Recombinations,0.699999988079071
541,2,0.23333333432674408,20 Recombinations,0.6333333253860474
542,3,0.3333333432674408,20 Recombinations,0.75
543,4,0.4000000059604645,20 Recombinations,0.6333333253860474
544,5,0.4333333373069763,20 Recombinations,0.7833333611488342
545,6,0.3333333432674408,20 Recombinations,0.7166666388511658
546,7,0.36666667461395264,20 Recombinations,0.6666666865348816
547,8,0.36666667461395264,20 Recombinations,0.75
548,9,0.2666666805744171,20 Recombinations,0.5
549,10,0.36666667461395264,20 Recombinations,0.6833333373069763
550,11,0.1666666716337204,20 Recombinations,0.5
551,12,0.36666667461395264,20 Recombinations,0.7666666507720947
552,13,0.30000001192092896,20 Recombinations,0.6000000238418579
553,14,0.2666666805744171,20 Recombinations,0.5666666626930237
554,15,0.3333333432674408,20 Recombinations,0.6333333253860474
555,16,0.4000000059604645,20 Recombinations,0.8333333134651184
556,17,0.36666667461395264,20 Recombinations,0.550000011920929
557,18,0.36666667461395264,20 Recombinations,0.6166666746139526
558,19,0.4333333373069763,20 Recombinations,0.75
559,20,0.36666667461395264,20 Recombinations,0.5833333134651184
560,21,0.3333333432674408,20 Recombinations,0.5666666626930237
561,22,0.4333333373069763,20 Recombinations,0.6833333373069763
562,23,0.36666667461395264,20 Recombinations,0.5833333134651184
563,24,0.30000001192092896,20 Recombinations,0.6833333373069763
564,25,0.4333333373069763,20 Recombinations,0.7166666388511658
565,26,0.4000000059604645,20 Recombinations,0.7666666507720947
566,27,0.3333333432674408,20 Recombinations,0.6666666865348816
567,28,0.3333333432674408,20 Recombinations,0.6499999761581421
568,29,0.30000001192092896,20 Recombinations,0.5166666507720947
569,30,0.4333333373069763,20 Recombinations,0.800000011920929
570,1,0.2666666805744171,20 Recombinations,0.6666666865348816
571,2,0.36666667461395264,20 Recombinations,0.7333333492279053
572,3,0.2666666805744171,20 Recombinations,0.5666666626930237
573,4,0.30000001192092896,20 Recombinations,0.6333333253860474
574,5,0.3333333432674408,20 Recombinations,0.5333333611488342
575,6,0.4000000059604645,20 Recombinations,0.5666666626930237
576,7,0.30000001192092896,20 Recombinations,0.5333333611488342
577,8,0.3333333432674408,20 Recombinations,0.6666666865348816
578,9,0.4000000059604645,20 Recombinations,0.6000000238418579
579,10,0.36666667461395264,20 Recombinations,0.550000011920929
580,11,0.30000001192092896,20 Recombinations,0.6333333253860474
581,12,0.23333333432674408,20 Recombinations,0.5666666626930237
582,13,0.36666667461395264,20 Recombinations,0.5333333611488342
583,14,0.13333334028720856,20 Recombinations,0.5333333611488342
584,15,0.4333333373069763,20 Recombinations,0.7333333492279053
585,16,0.20000000298023224,20 Recombinations,0.4333333373069763
586,17,0.20000000298023224,20 Recombinations,0.5333333611488342
587,18,0.30000001192092896,20 Recombinations,0.5833333134651184
588,19,0.20000000298023224,20 Recombinations,0.550000011920929
589,20,0.20000000298023224,20 Recombinations,0.5333333611488342
590,21,0.2666666805744171,20 Recombinations,0.6166666746139526
591,22,0.13333334028720856,20 Recombinations,0.4000000059604645
592,23,0.30000001192092896,20 Recombinations,0.5333333611488342
593,24,0.3333333432674408,20 Recombinations,0.46666666865348816
594,25,0.20000000298023224,20 Recombinations,0.46666666865348816
595,26,0.2666666805744171,20 Recombinations,0.4000000059604645
596,27,0.23333333432674408,20 Recombinations,0.5
597,28,0.23333333432674408,20 Recombinations,0.5
598,29,0.30000001192092896,20 Recombinations,0.5666666626930237
599,30,0.20000000298023224,20 Recombinations,0.6000000238418579
