Unnamed: 0,Epochs,Validation Accuracy,Setting,Value,Metric
,15,,Halved Classes,0.5666666626930237,Validation Accuracy
,1,,Halved Classes,0.8666666746139526,Validation Off-By-One Accuracy
,2,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,3,,Halved Classes,0.7333333492279053,Validation Off-By-One Accuracy
,4,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,5,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,6,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,7,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,8,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,9,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,10,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,11,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,12,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,13,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,14,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,15,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,1,,Halved Classes,0.36666667461395264,Validation Accuracy
,2,,Halved Classes,0.5,Validation Accuracy
,3,,Halved Classes,0.5333333611488342,Validation Accuracy
,4,,Halved Classes,0.6000000238418579,Validation Accuracy
,5,,Halved Classes,0.5333333611488342,Validation Accuracy
,6,,Halved Classes,0.5333333611488342,Validation Accuracy
,7,,Halved Classes,0.46666666865348816,Validation Accuracy
,8,,Halved Classes,0.46666666865348816,Validation Accuracy
,9,,Halved Classes,0.699999988079071,Validation Accuracy
,10,,Halved Classes,0.5333333611488342,Validation Accuracy
,11,,Halved Classes,0.5333333611488342,Validation Accuracy
,12,,Halved Classes,0.5333333611488342,Validation Accuracy
,13,,Halved Classes,0.5333333611488342,Validation Accuracy
,14,,Halved Classes,0.5333333611488342,Validation Accuracy
,15,,Halved Classes,0.5333333611488342,Validation Accuracy
,1,,Halved Classes,0.6666666865348816,Validation Off-By-One Accuracy
,2,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,3,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,4,,Halved Classes,0.8666666746139526,Validation Off-By-One Accuracy
,5,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,6,,Halved Classes,0.800000011920929,Validation Off-By-One Accuracy
,7,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,8,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,9,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,10,,Halved Classes,0.699999988079071,Validation Off-By-One Accuracy
,11,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,12,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,13,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,14,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,15,,Halved Classes,0.7666666507720947,Validation Off-By-One Accuracy
,1,,Halved Classes,0.6333333253860474,Validation Accuracy
,2,,Halved Classes,0.4000000059604645,Validation Accuracy
,3,,Halved Classes,0.7666666507720947,Validation Accuracy
,4,,Halved Classes,0.7333333492279053,Validation Accuracy
,5,,Halved Classes,0.699999988079071,Validation Accuracy
,6,,Halved Classes,0.699999988079071,Validation Accuracy
,7,,Halved Classes,0.699999988079071,Validation Accuracy
,8,,Halved Classes,0.699999988079071,Validation Accuracy
,9,,Halved Classes,0.699999988079071,Validation Accuracy
,10,,Halved Classes,0.699999988079071,Validation Accuracy
,11,,Halved Classes,0.699999988079071,Validation Accuracy
,12,,Halved Classes,0.699999988079071,Validation Accuracy
,13,,Halved Classes,0.699999988079071,Validation Accuracy
,14,,Halved Classes,0.699999988079071,Validation Accuracy
,15,,Halved Classes,0.699999988079071,Validation Accuracy
,1,,Halved Classes,0.8333333134651184,Validation Off-By-One Accuracy
,2,,Halved Classes,1.0,Validation Off-By-One Accuracy
,3,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,4,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,5,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,6,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,7,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,8,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,9,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,10,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,11,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,12,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,13,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,14,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,15,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,1,,Halved Classes,0.5666666626930237,Validation Accuracy
,2,,Halved Classes,0.6666666865348816,Validation Accuracy
,3,,Halved Classes,0.8333333134651184,Validation Accuracy
,4,,Halved Classes,0.8333333134651184,Validation Accuracy
,5,,Halved Classes,0.8333333134651184,Validation Accuracy
,6,,Halved Classes,0.8333333134651184,Validation Accuracy
,7,,Halved Classes,0.8333333134651184,Validation Accuracy
,8,,Halved Classes,0.8333333134651184,Validation Accuracy
,9,,Halved Classes,0.8333333134651184,Validation Accuracy
,10,,Halved Classes,0.8333333134651184,Validation Accuracy
,11,,Halved Classes,0.8333333134651184,Validation Accuracy
,12,,Halved Classes,0.8333333134651184,Validation Accuracy
,13,,Halved Classes,0.8333333134651184,Validation Accuracy
,14,,Halved Classes,0.8333333134651184,Validation Accuracy
,15,,Halved Classes,0.8333333134651184,Validation Accuracy
,1,,Halved Classes,0.699999988079071,Validation Off-By-One Accuracy
,2,,Halved Classes,0.9333333373069763,Validation Off-By-One Accuracy
,3,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,4,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,5,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,6,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,7,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,8,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,9,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,10,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,11,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,12,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,13,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,14,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,15,,Halved Classes,0.9666666388511658,Validation Off-By-One Accuracy
,1,,Halved Classes,0.6666666865348816,Validation Accuracy
,2,,Halved Classes,0.8333333134651184,Validation Accuracy
,3,,Halved Classes,0.6000000238418579,Validation Accuracy
,4,,Halved Classes,0.7666666507720947,Validation Accuracy
,5,,Halved Classes,0.800000011920929,Validation Accuracy
,6,,Halved Classes,0.8666666746139526,Validation Accuracy
,7,,Halved Classes,0.8333333134651184,Validation Accuracy
,8,,Halved Classes,0.8333333134651184,Validation Accuracy
,9,,Halved Classes,0.8333333134651184,Validation Accuracy
,10,,Halved Classes,0.8333333134651184,Validation Accuracy
,11,,Halved Classes,0.8333333134651184,Validation Accuracy
,12,,Halved Classes,0.8333333134651184,Validation Accuracy
